Id,Hrs,Min,Secs,Day,date,Month,Year,Count
85,9,55,20,4,5,8,2020,14
86,10,15,45,4,5,8,2020,40
87,10,35,14,4,5,8,2020,50
88,10,55,20,4,5,8,2020,12
89,11,15,25,4,5,8,2020,19
90,11,25,35,4,5,8,2020,33
91,11,40,50,4,5,8,2020,19
92,11,55,55,4,5,8,2020,33
93,12,15,45,4,5,8,2020,44
94,12,35,10,4,5,8,2020,23
95,12,55,20,4,5,8,2020,40
96,7,15,15,5,6,8,2020,25
97,7,35,57,5,6,8,2020,5
98,7,55,45,5,6,8,2020,15
99,8,15,10,5,6,8,2020,50
100,8,35,20,5,6,8,2020,24
101,8,55,35,5,6,8,2020,28
102,9,15,45,5,6,8,2020,36
103,9,35,10,5,6,8,2020,31
104,9,55,20,5,6,8,2020,39
105,10,15,45,5,6,8,2020,1
106,10,35,14,5,6,8,2020,8
107,10,55,20,5,6,8,2020,7
108,11,15,25,5,6,8,2020,27
109,11,25,35,5,6,8,2020,28
110,11,40,50,5,6,8,2020,9
111,11,55,55,5,6,8,2020,30
112,12,15,45,5,6,8,2020,30
113,12,35,10,5,6,8,2020,44
114,12,55,20,5,6,8,2020,32
115,7,15,15,6,7,8,2020,50
116,7,35,57,6,7,8,2020,6
117,7,55,45,6,7,8,2020,30
118,8,15,10,6,7,8,2020,30
119,8,35,20,6,7,8,2020,49
120,8,55,35,6,7,8,2020,13
121,9,15,45,6,7,8,2020,6
122,9,35,10,6,7,8,2020,25
123,9,55,20,6,7,8,2020,1
124,10,15,45,6,7,8,2020,18
125,10,35,14,6,7,8,2020,12
126,10,55,20,6,7,8,2020,4
127,11,15,25,6,7,8,2020,35
128,11,25,35,6,7,8,2020,8
129,11,40,50,6,7,8,2020,5
130,11,55,55,6,7,8,2020,30
131,12,15,45,6,7,8,2020,24
132,12,35,10,6,7,8,2020,37
133,12,55,20,6,7,8,2020,6
134,7,15,15,7,8,8,2020,1
135,7,35,57,7,8,8,2020,32
136,7,55,45,7,8,8,2020,30
137,8,15,10,7,8,8,2020,9
138,8,35,20,7,8,8,2020,15
139,8,55,35,7,8,8,2020,35
140,9,15,45,7,8,8,2020,9
141,9,35,10,7,8,8,2020,39
142,9,55,20,7,8,8,2020,18
143,10,15,45,7,8,8,2020,30
144,10,35,14,7,8,8,2020,18
145,10,55,20,7,8,8,2020,24
146,11,15,25,7,8,8,2020,18
147,11,25,35,7,8,8,2020,46
148,11,40,50,7,8,8,2020,17
149,11,55,55,7,8,8,2020,45
150,12,15,45,7,8,8,2020,40
151,12,35,10,7,8,8,2020,24
152,12,55,20,7,8,8,2020,6
153,7,15,15,8,9,8,2020,11
154,7,35,57,8,9,8,2020,24
155,7,55,45,8,9,8,2020,29
156,8,15,10,8,9,8,2020,17
157,8,35,20,8,9,8,2020,16
158,8,55,35,8,9,8,2020,32
159,9,15,45,8,9,8,2020,45
160,9,35,10,8,9,8,2020,43
161,9,55,20,8,9,8,2020,34
162,10,15,45,8,9,8,2020,39
163,10,35,14,8,9,8,2020,34
164,10,55,20,8,9,8,2020,36
165,11,15,25,8,9,8,2020,4
166,11,25,35,8,9,8,2020,33
167,11,40,50,8,9,8,2020,49
168,11,55,55,8,9,8,2020,47
169,12,15,45,8,9,8,2020,39
170,12,35,10,8,9,8,2020,17
171,12,55,20,8,9,8,2020,43
